tweet_text,target
friend come austin sxsw link austin sxsw,2
surviv kit provid folk line sxsw appl store morn geniu link,3
rt mention googl launch major new social network call circl possibl today link,2
attend preso live simpli 100tc sxswi sxsw felt bit guilti take note new ipad,1
deviantart buy 3 ipad 2 austin test muro draw super fast deviantart sxsw link,3
mention mention mention quot mention googl launch major new social network circl possibl today link sxsw quot,3
rt mention rt mention shini new mention mention eightbit app new garyve book ipad 2 store sxsw christma nerd,3
bettercloud sxsw present amp austin nativ john wiley happen chief engin behind googl search,2
sxsw peep want ipad2 link brilliant real,3
mention marissa mayer 40 googl map use mobil sxsw link,3
rt mention confirm appl store 2 week popup austin sxsw pictur link,2
interest gt gt rt mention googl launch major new social network call circl possibl today link sxsw,2
rt mention go check appl shop sxsw sxswi let us know link ipad2,2
toptweet rt mention rumor appl open temporari store downtown austin sxsw link,2
ha one way track contact rt mention w mention john android sxsw mention link,2
includ emot thing ipad barrydil sxsw pnid,3
rt mention googl launch major new social network call circl possibl today link sxsw twnp socmedia,3
special promo sxsw attende link meetchu captur lykwxhpyterh tt66h9tjn4ye rt6n79xp37ff typ63mmam7w3,2
hour wait makeshift appl store ipad 2 fail sxsw,1
come visit milyoni booth 1223 right big googl sign sxsw link,2
gari vaynerchuck ner och daili grape thankyoueconomi sxsw swesxsw,2
grab one sxswnl rt mention sxsw ipad store sold everyth except 64gig wifi white,2
sxsw waze link duke googl person map experi friendli quot panel crash quot,2
mention snag ipad 2 yesterday thought far sxsw,2
mike tyson launch iphon game mention sxsw link tech news link,3
friend go sxsw today share photo video mention link cnn iphon app,2
thing ppl say mention make laugh want free gp wait take pic sidewalk cmon sxsw,2
appl head sxsw set temporari store austin link,2
hobo shotgun iphon game link sxsw,2
hey mention laker fan sxsw think laker iphon case zazzlesxsw,2
rt mention surpris appl open store austin nerd town sxsw get new ipad link cnet,2
googl might launch social network call circl sxsw cours link,0
chri messina googl drop knowledg web ident come hyatt right move sxsw,3
appl set open popup shop core sxsw action link sxsw appl appl set open popup sh link,2
sit floor behind guy fondl new ipad 2 disturb way sxsw,1
feel like iphon alway alway someth run batteri fast sxsw,0
yup rt mention woke iphon finish recharg mean got enough sleep last night right sxsw,2
get person sxsw show schedul via app link music rhapsodi sxsw cyber iphon,2
justmet mention work appl 25 year sxsw,3
googl prepar launch socialmedia sxsw mayb link via mention,2
check great amp effect enviro app mention bin link iphon sxsw sxswi greatergood,3
mention googl launch major new social network call circl possibl today link fb,2
mention saw lax head sxsw wife iphon ipad download app freespeech mention,3
rt mention question sxsw said quot thank big fan quot googl mention caus giggl audienc laugh,3
googl 1986 theme parti sxsw mention maggi mae link,2
pdanet awesom app yet android sxsw mention like,3
true rt mention best hungri sxsw tip mekong river great vietnames link 6th till 11pm via mention,2
took ipad work sxsw figur gon na need,2
u read articl googl say rumor mention launch major new social network call circl link,2
rt mention photo spend sat night sxsw chat husband skype iphon coffe link,2
evid sxsw might well call countri unit state appl sxswsa,2
mention atleast sxsw ipad doublelos,2
rt mention googl launch major new social network call circl sxsw,2
googl launch major new social network call circl link sxsw,2
conan doc cdr radio android parti npr shindig gener rage pretti sure sxsw proper sprint marathon right,2
afraid sxsw would make miss buy new ipad worri appl open pop shop link,2
dude thought buddi figur put keyboard ipad told netbook guy unconvinc obvious wast sxsw,2
